Country Name,"Country Code","Series Name","Series Code","1990 [YR1990]","2000 [YR2000]","2010 [YR2010]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2030 [YR2030]","2040 [YR2040]","2050 [YR2050]"
United States,"USA","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Burning - Crop residues","CC.ECA.BCR","2957.3231","2937.3115","3152.8373","3107.7832","3260.694","3048.6982","3038.2267","3005.6091","..","..","..","3431.5309","..","3540.3596"
United States,"USA","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Emissions on agricultural land","CC.ECA.EAL","221183.2502","224232.1229","224168.2676","215250.4878","222402.9839","223194.4339","227149.2245","226870.4263","..","..","..","234014.0083","..","232979.52"
United States,"USA","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Enteric Fermentation","CC.ECA.EFE","170822.988","172088.3766","168240.4108","161470.4631","165787.5208","168568.5991","169819.659","170583.2966","..","..","..","177750.5906","..","175208.7045"
United States,"USA","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Farm-gate emissions","CC.ECA.FGE","221173.7236","224201.9172","224168.2093","215249.6726","222402.1688","223192.9782","227147.769","226870.1352","..","..","..","234014.0083","..","232979.52"
United States,"USA","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Fires in humid tropical forests","CC.ECA.FTR","9.5266","30.2058","0.0582","0.8152","0.8151","1.4557","1.4555","0.2911","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Fires in organic soils","CC.ECA.FOS","0","0","0","0","0","0","0","0","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Forest fires","CC.ECA.FFR","1036.0691","2425.3015","490.8179","1236.5775","771.7499","1429.2216","1318.8196","814.7118","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - IPCC Agriculture","CC.ECA.IPA","220598.6212","223783.2322","223905.1635","214771.2152","221990.4817","222704.9957","226676.2131","226391.5616","..","..","..","234014.0083","..","232979.52"
United States,"USA","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Land Use change","CC.ECA.LUC","9.5266","30.2058","0.0582","0.8152","0.8151","1.4557","1.4555","0.2911","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - LULUCF","CC.ECA.LUL","1036.0691","2425.3015","490.8179","1236.5775","771.7499","1429.2216","1318.8196","814.7118","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Manure Management","CC.ECA.MMA","34876.1432","35961.5176","37751.2074","39113.7213","40006.326","40730.9512","41448.8555","42451.7946","..","..","..","38796.0561","..","39457.4322"
United States,"USA","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - On-farm energy use","CC.ECA.OEU","575.1024","418.6849","263.0458","478.4573","411.6871","487.9825","471.5559","478.5736","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Rice Cultivation","CC.ECA.RCA","11195.52","12052.53","14336.91","10212.384","12282.536","9415.154","11540.97","9803.822","..","..","..","14035.8307","..","14773.0237"
United States,"USA","Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Savanna fires","CC.ECA.SVF","746.6469","743.4965","423.798","866.8636","653.4049","941.5932","828.5019","547.0393","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - AFOLU","CC.ENA.AFO","143793.9891","151754.3975","154870.8516","159628.8257","163621.7777","163102.6923","162628.0706","160500.4048","..","..","..","151440.9974","..","156338.2233"
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Agricultural Soils","CC.ENA.AGS","129524.029","136435.612","140816.4531","144838.9799","149087.912","147613.7517","147255.2641","145742.8007","..","..","..","137033.884","..","141651.2997"
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Burning - Crop residues","CC.ENA.BCR","725.6395","720.7292","773.6129","762.5579","800.0777","748.0602","745.4908","737.4874","..","..","..","841.996","..","868.6993"
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Crop Residues","CC.ENA.CRE","19193.1314","21221.4989","24102.152","26054.2178","29390.7271","26788.5264","26846.6988","24770.11","..","..","..","28415.4587","..","29864.118"
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Drained organic soils (N2O)","CC.ENA.DON","7115.9302","7141.3281","7090.6393","7045.1464","7020.7733","7018.4258","7036.2816","7036.2816","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Emissions on agricultural land","CC.ENA.EAL","146506.663","153841.7575","158604.3646","161828.0989","166205.1731","164748.9854","164250.9075","162424.9878","..","..","..","151440.9974","..","156338.2233"
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Farm-gate emissions","CC.ENA.FGE","146503.6837","153833.3493","158604.3143","161827.3944","166204.4688","164747.7275","164249.6497","162424.7362","..","..","..","151440.9974","..","156338.2233"
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Fires in humid tropical forests","CC.ENA.FTR","2.9793","8.4082","0.0503","0.7045","0.7044","1.2579","1.2578","0.2516","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Forest fires","CC.ENA.FFR","750.561","1262.3755","424.1307","1068.5643","666.8925","1235.0339","1139.6321","704.0172","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - IPCC Agriculture","CC.ENA.IPA","143043.428","150492.022","154446.7209","158560.2614","162954.8851","161867.6583","161488.4384","159796.3876","..","..","..","151440.9974","..","156338.2233"
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Land Use change","CC.ENA.LUC","2.9793","8.4082","0.0503","0.7045","0.7044","1.2579","1.2578","0.2516","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - LULUCF","CC.ENA.LUL","750.561","1262.3755","424.1307","1068.5643","666.8925","1235.0339","1139.6321","704.0172","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Manure applied to Soils","CC.ENA.SAS","13156.7724","14136.4909","14170.2229","14168.4433","14391.7684","14532.9267","14561.5886","14560.9379","..","..","..","16099.7165","..","17185.8139"
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Manure left on Pasture","CC.ENA.MLP","33908.8051","34878.1471","34446.0781","32643.4822","33695.9801","34317.0966","34560.302","34776.8604","..","..","..","36227.0524","..","35363.2554"
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Manure Management","CC.ENA.MMA","12148.5592","12693.2029","12490.4382","12209.6403","12502.2684","12692.1871","12771.7498","12843.3862","..","..","..","13565.1174","..","13818.2243"
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - On-farm energy use","CC.ENA.OEU","3460.2557","3341.3272","4157.5933","3267.133","3249.5837","2880.0691","2761.2113","2628.3486","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Savanna fires","CC.ENA.SVF","645.2003","642.4779","366.2168","749.0832","564.6271","813.6594","715.9337","472.7133","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) from N2O (AR5) - Synthetic Fertilizers","CC.ENA.SFE","56149.3898","59058.147","61007.3608","64927.6902","64588.6631","64956.7762","64250.3931","64598.6108","..","..","..","56291.6564","..","59238.1124"
United States,"USA","Emission Totals - Emissions (N2O) - AFOLU","CC.ENO.AFO","542.6188","572.6581","584.4183","602.3729","617.4407","615.4819","613.6908","605.6619","..","..","..","571.4755","..","589.9556"
United States,"USA","Emission Totals - Emissions (N2O) - Agricultural Soils","CC.ENO.AGS","488.7699","514.8514","531.3828","546.5622","562.5959","557.033","555.6802","549.9728","..","..","..","517.109","..","534.5332"
United States,"USA","Emission Totals - Emissions (N2O) - Burning - Crop residues","CC.ENO.BCR","2.7383","2.7197","2.9193","2.8776","3.0192","2.8229","2.8132","2.783","..","..","..","3.1773","..","3.2781"
United States,"USA","Emission Totals - Emissions (N2O) - Crop Residues","CC.ENO.CRE","72.4269","80.0811","90.9515","98.3178","110.9084","101.0888","101.3083","93.4721","..","..","..","107.2281","..","112.6948"
United States,"USA","Emission Totals - Emissions (N2O) - Drained organic soils (N2O)","CC.ENO.DON","26.8526","26.9484","26.7571","26.5855","26.4935","26.4846","26.552","26.552","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (N2O) - Emissions on agricultural land","CC.ENO.EAL","552.8553","580.5349","598.507","610.6721","627.1893","621.6943","619.8147","612.9245","..","..","..","571.4755","..","589.9556"
United States,"USA","Emission Totals - Emissions (N2O) - Farm-gate emissions","CC.ENO.FGE","552.8441","580.5032","598.5068","610.6694","627.1867","621.6895","619.81","612.9235","..","..","..","571.4755","..","589.9556"
United States,"USA","Emission Totals - Emissions (N2O) - Fires in humid tropical forests","CC.ENO.FTR","0.0112","0.0317","0.0002","0.0027","0.0027","0.0047","0.0047","0.0009","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (N2O) - Forest fires","CC.ENO.FFR","2.8323","4.7637","1.6005","4.0323","2.5166","4.6605","4.3005","2.6567","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (N2O) - IPCC Agriculture","CC.ENO.IPA","539.7865","567.8944","582.8178","598.3406","614.9241","610.8214","609.3903","603.0052","..","..","..","571.4755","..","589.9556"
United States,"USA","Emission Totals - Emissions (N2O) - Land Use change","CC.ENO.LUC","0.0112","0.0317","0.0002","0.0027","0.0027","0.0047","0.0047","0.0009","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (N2O) - LULUCF","CC.ENO.LUL","2.8323","4.7637","1.6005","4.0323","2.5166","4.6605","4.3005","2.6567","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (N2O) - Manure applied to Soils","CC.ENO.SAS","49.6482","53.3452","53.4725","53.4658","54.3086","54.8412","54.9494","54.9469","..","..","..","60.7536","..","64.8521"
United States,"USA","Emission Totals - Emissions (N2O) - Manure left on Pasture","CC.ENO.MLP","127.9578","131.6156","129.9852","123.183","127.1546","129.4985","130.4162","131.2334","..","..","..","136.7059","..","133.4462"
United States,"USA","Emission Totals - Emissions (N2O) - Manure Management","CC.ENO.MMA","45.8436","47.8989","47.1337","46.0741","47.1784","47.895","48.1953","48.4656","..","..","..","51.1891","..","52.1442"
